FireIncidentAddress,FireIncidentAlarmDateTime,FireIncidentApparatusApparatus,FireIncidentApparatusClearTime,FireIncidentApparatusDispatchTime,FireIncidentApparatusEnrouteTime,FireIncidentArrivalDateTime,FireIncidentIncidentType,FireIncidentShift,FireIncidentStation,
26 ROBERTS ST N,01/01/2017 02:38:03,804,01/01/2017 02:42:13,01/01/2017 02:39:16,01/01/2017 02:40:16,01/01/2017 02:42:27,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
26 ROBERTS ST N,01/01/2017 02:38:03,801,01/01/2017 02:50:53,01/01/2017 02:42:27,01/01/2017 02:42:28,01/01/2017 02:42:27,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
1517 4 AVE N,01/01/2017 02:44:27,804,01/01/2017 03:03:49,01/01/2017 02:49:21,01/01/2017 02:50:30,01/01/2017 02:53:52,Police matter,A Shift,Fargo Station 4,
1251 54 AVE S,01/01/2017 03:55:24,802,01/01/2017 04:15:36,01/01/2017 03:56:24,01/01/2017 03:57:38,01/01/2017 04:05:12,"EMS call, excluding vehicle acci",A Shift,Fargo Station 8,
421 UNIVERSITY DR N,01/01/2017 04:17:58,801,01/01/2017 04:22:52,01/01/2017 04:19:33,01/01/2017 04:20:35,,Emergency Medical cancelled en r,A Shift,Fargo Station 1,
2723 WHEATLAND DR S,01/01/2017 04:44:35,802,01/01/2017 04:56:28,01/01/2017 04:45:09,01/01/2017 04:46:16,01/01/2017 04:51:26,CO detector activation due to ma,A Shift,Fargo Station 2,
517 22 AVE N,01/01/2017 05:33:22,803,01/01/2017 05:47:09,01/01/2017 05:37:17,01/01/2017 05:38:25,01/01/2017 05:40:37,"EMS call, excluding vehicle acci",A Shift,Fargo Station 3,
1724 39 ST S,01/01/2017 05:41:45,805,01/01/2017 06:04:30,01/01/2017 05:45:35,01/01/2017 05:46:50,01/01/2017 05:50:43,"Medical assist, assist EMS crew",A Shift,Fargo Station 5,
520 31 AVE N,01/01/2017 06:39:26,BATT1,01/01/2017 06:50:59,01/01/2017 06:40:44,01/01/2017 06:43:09,01/01/2017 06:42:14,"Smoke detector activation, no fi",A Shift,Fargo Station 3,
520 31 AVE N,01/01/2017 06:39:26,TRUCK1,01/01/2017 06:50:46,01/01/2017 06:40:44,01/01/2017 06:42:38,01/01/2017 06:42:14,"Smoke detector activation, no fi",A Shift,Fargo Station 3,
520 31 AVE N,01/01/2017 06:39:26,806,01/01/2017 06:50:45,01/01/2017 06:40:44,01/01/2017 06:41:52,01/01/2017 06:42:14,"Smoke detector activation, no fi",A Shift,Fargo Station 3,
520 31 AVE N,01/01/2017 06:39:26,804,01/01/2017 06:50:47,01/01/2017 06:40:44,01/01/2017 06:41:54,01/01/2017 06:42:14,"Smoke detector activation, no fi",A Shift,Fargo Station 3,
520 31 AVE N,01/01/2017 06:39:26,803,01/01/2017 07:03:50,01/01/2017 06:40:44,01/01/2017 06:41:40,01/01/2017 06:42:14,"Smoke detector activation, no fi",A Shift,Fargo Station 3,
520 31 AVE N,01/01/2017 06:39:26,801,01/01/2017 06:50:46,01/01/2017 06:40:44,01/01/2017 06:41:55,01/01/2017 06:42:14,"Smoke detector activation, no fi",A Shift,Fargo Station 3,
201 18 ST S,01/01/2017 07:35:59,804,01/01/2017 07:50:09,01/01/2017 07:37:51,01/01/2017 07:38:55,01/01/2017 07:42:34,"Medical assist, assist EMS crew",B Shift,Fargo Station 4,
101 2 ST S,01/01/2017 10:34:03,801,01/01/2017 10:42:05,01/01/2017 10:37:09,01/01/2017 10:37:45,01/01/2017 10:39:44,"EMS call, excluding vehicle acci",B Shift,Fargo Station 1,
1322 GATEWAY DR S,01/01/2017 12:27:18,805,01/01/2017 12:44:40,01/01/2017 12:28:55,01/01/2017 12:29:40,01/01/2017 12:33:24,"Medical assist, assist EMS crew",B Shift,Fargo Station 4,
201 UNIVERSITY DR S,01/01/2017 13:02:34,BATT1,01/01/2017 13:14:07,01/01/2017 13:03:47,01/01/2017 13:04:28,01/01/2017 13:06:01,"Smoke detector activation, no fi",B Shift,Fargo Station 1,
201 UNIVERSITY DR S,01/01/2017 13:02:34,TRUCK1,01/01/2017 13:10:35,01/01/2017 13:03:47,01/01/2017 13:04:56,01/01/2017 13:06:01,"Smoke detector activation, no fi",B Shift,Fargo Station 1,
201 UNIVERSITY DR S,01/01/2017 13:02:34,805,01/01/2017 13:08:26,01/01/2017 13:03:47,01/01/2017 13:04:45,01/01/2017 13:06:01,"Smoke detector activation, no fi",B Shift,Fargo Station 1,
201 UNIVERSITY DR S,01/01/2017 13:02:34,804,01/01/2017 13:08:35,01/01/2017 13:03:47,01/01/2017 13:04:42,01/01/2017 13:06:01,"Smoke detector activation, no fi",B Shift,Fargo Station 1,
201 UNIVERSITY DR S,01/01/2017 13:02:34,803,01/01/2017 13:08:25,01/01/2017 13:03:47,01/01/2017 13:04:25,01/01/2017 13:06:01,"Smoke detector activation, no fi",B Shift,Fargo Station 1,
201 UNIVERSITY DR S,01/01/2017 13:02:34,801,01/01/2017 13:15:07,01/01/2017 13:03:47,01/01/2017 13:04:51,01/01/2017 13:06:01,"Smoke detector activation, no fi",B Shift,Fargo Station 1,
5004 LODEN CT S,01/01/2017 13:37:27,807,01/01/2017 14:02:11,01/01/2017 13:38:45,01/01/2017 13:39:49,01/01/2017 13:44:01,"EMS call, excluding vehicle acci",B Shift,Fargo Station 7,
4474 BLUESTEM CT S,01/01/2017 13:48:09,BATT2,01/01/2017 13:56:35,01/01/2017 13:49:52,01/01/2017 13:51:34,01/01/2017 13:54:30,"Smoke scare, odor of smoke",B Shift,Fargo Station 7,
4474 BLUESTEM CT S,01/01/2017 13:48:09,TRUCK2,01/01/2017 14:10:57,01/01/2017 13:49:52,01/01/2017 13:51:01,01/01/2017 13:54:30,"Smoke scare, odor of smoke",B Shift,Fargo Station 7,
4474 BLUESTEM CT S,01/01/2017 13:48:09,806,01/01/2017 13:57:04,01/01/2017 13:49:52,01/01/2017 13:50:46,01/01/2017 13:54:30,"Smoke scare, odor of smoke",B Shift,Fargo Station 7,
4474 BLUESTEM CT S,01/01/2017 13:48:09,805,01/01/2017 13:56:20,01/01/2017 13:49:52,01/01/2017 13:51:43,01/01/2017 13:54:30,"Smoke scare, odor of smoke",B Shift,Fargo Station 7,
4474 BLUESTEM CT S,01/01/2017 13:48:09,804,01/01/2017 13:56:23,01/01/2017 13:49:52,01/01/2017 13:50:47,01/01/2017 13:54:30,"Smoke scare, odor of smoke",B Shift,Fargo Station 7,
4474 BLUESTEM CT S,01/01/2017 13:48:09,802,01/01/2017 13:56:19,01/01/2017 13:49:52,01/01/2017 13:50:28,01/01/2017 13:54:30,"Smoke scare, odor of smoke",B Shift,Fargo Station 7,
715 32 AVE N,01/01/2017 13:59:55,BATT1,01/01/2017 14:29:07,01/01/2017 14:01:10,01/01/2017 14:01:45,01/01/2017 14:04:23,Building fire,B Shift,Fargo Station 3,
715 32 AVE N,01/01/2017 13:59:55,TRUCK1,01/01/2017 14:09:53,01/01/2017 14:01:10,01/01/2017 14:02:27,01/01/2017 14:04:23,Building fire,B Shift,Fargo Station 3,
715 32 AVE N,01/01/2017 13:59:55,806,01/01/2017 14:10:32,01/01/2017 14:01:10,01/01/2017 14:01:38,01/01/2017 14:04:23,Building fire,B Shift,Fargo Station 3,
715 32 AVE N,01/01/2017 13:59:55,804,01/01/2017 14:09:56,01/01/2017 14:01:10,01/01/2017 14:01:31,01/01/2017 14:04:23,Building fire,B Shift,Fargo Station 3,
715 32 AVE N,01/01/2017 13:59:55,803,01/01/2017 14:35:25,01/01/2017 14:01:10,01/01/2017 14:01:48,01/01/2017 14:04:23,Building fire,B Shift,Fargo Station 3,
715 32 AVE N,01/01/2017 13:59:55,801,01/01/2017 14:27:43,01/01/2017 14:01:10,01/01/2017 14:01:59,01/01/2017 14:04:23,Building fire,B Shift,Fargo Station 3,
726 23 ST S,01/01/2017 14:33:49,804,01/01/2017 15:01:57,01/01/2017 14:34:17,01/01/2017 14:35:11,01/01/2017 14:38:37,"EMS call, excluding vehicle acci",B Shift,Fargo Station 4,
4640 33 AVE S,01/01/2017 14:36:54,807,01/01/2017 14:55:26,01/01/2017 14:38:08,01/01/2017 14:39:02,01/01/2017 14:47:26,"EMS call, excluding vehicle acci",B Shift,Fargo Station 7,
2525 BROADWAY N,01/01/2017 14:49:41,801,01/01/2017 15:07:36,01/01/2017 14:50:16,01/01/2017 14:50:46,01/01/2017 14:55:35,"Medical assist, assist EMS crew",B Shift,Fargo Station 3,
802 1 AVE N,01/01/2017 14:54:05,803,01/01/2017 15:01:47,01/01/2017 14:54:51,01/01/2017 14:55:53,01/01/2017 14:59:44,"Medical assist, assist EMS crew",B Shift,Fargo Station 1,
1908 28 AVE S,01/01/2017 15:00:37,802,01/01/2017 15:20:00,01/01/2017 15:01:33,01/01/2017 15:02:27,01/01/2017 15:04:38,"EMS call, excluding vehicle acci",B Shift,Fargo Station 2,
309 12 ST N,01/01/2017 16:46:10,801,01/01/2017 17:08:49,01/01/2017 16:47:36,01/01/2017 16:48:18,01/01/2017 16:50:04,"EMS call, excluding vehicle acci",B Shift,Fargo Station 1,
1443 42 ST S,01/01/2017 17:29:14,BATT2,01/01/2017 17:36:01,01/01/2017 17:29:58,01/01/2017 17:31:02,01/01/2017 17:33:33,Motor vehicle accident with no i,B Shift,Fargo Station 5,
1443 42 ST S,01/01/2017 17:29:14,TRUCK1,01/01/2017 17:36:07,01/01/2017 17:29:58,01/01/2017 17:31:08,01/01/2017 17:33:33,Motor vehicle accident with no i,B Shift,Fargo Station 5,
1443 42 ST S,01/01/2017 17:29:14,806,01/01/2017 17:36:46,01/01/2017 17:29:58,01/01/2017 17:30:49,01/01/2017 17:33:33,Motor vehicle accident with no i,B Shift,Fargo Station 5,
1443 42 ST S,01/01/2017 17:29:14,805,01/01/2017 17:44:53,01/01/2017 17:29:58,01/01/2017 17:30:59,01/01/2017 17:33:33,Motor vehicle accident with no i,B Shift,Fargo Station 5,
2400 UNIVERSITY DR S,01/01/2017 18:47:45,802,01/01/2017 18:57:59,01/01/2017 18:48:19,01/01/2017 18:49:04,01/01/2017 18:52:48,"EMS call, excluding vehicle acci",B Shift,Fargo Station 2,
637 NORTHERN PACIFIC AVE N,01/01/2017 19:22:08,BATT1,01/01/2017 19:45:27,01/01/2017 19:22:58,01/01/2017 19:23:00,01/01/2017 19:23:08,"EMS call, excluding vehicle acci",B Shift,Fargo Station 1,
637 NORTHERN PACIFIC AVE N,01/01/2017 19:22:08,801,01/01/2017 19:45:22,01/01/2017 19:22:58,01/01/2017 19:23:00,01/01/2017 19:23:08,"EMS call, excluding vehicle acci",B Shift,Fargo Station 1,
4440 37 AVE S,01/01/2017 19:38:58,807,01/01/2017 20:02:17,01/01/2017 19:39:27,01/01/2017 19:40:33,01/01/2017 19:43:58,"EMS call, excluding vehicle acci",B Shift,Fargo Station 7,
3784 10 ST N,01/01/2017 20:49:59,803,01/01/2017 21:08:38,01/01/2017 20:50:43,01/01/2017 20:51:32,01/01/2017 20:56:35,"EMS call, excluding vehicle acci",B Shift,Fargo Station 3,
5301 27 ST S,01/01/2017 20:55:34,802,01/01/2017 21:20:31,01/01/2017 20:56:32,01/01/2017 20:57:14,01/01/2017 21:02:29,"EMS call, excluding vehicle acci",B Shift,Fargo Station 8,
4335 23 AVE S,01/01/2017 21:20:10,807,01/01/2017 21:42:09,01/01/2017 21:21:02,01/01/2017 21:21:51,01/01/2017 21:26:35,"EMS call, excluding vehicle acci",B Shift,Fargo Station 7,
3550 42 ST S,01/01/2017 22:03:42,807,01/01/2017 22:40:16,01/01/2017 22:06:08,01/01/2017 22:07:07,01/01/2017 22:10:43,"EMS call, excluding vehicle acci",B Shift,Fargo Station 7,
2211 68 AVE S,01/01/2017 22:05:24,802,01/01/2017 22:23:13,01/01/2017 22:06:48,01/01/2017 22:07:41,01/01/2017 22:16:40,"EMS call, excluding vehicle acci",B Shift,Fargo Station 8,
2000 45 ST S,01/02/2017 00:03:19,BATT2,01/02/2017 00:06:21,01/02/2017 00:03:35,01/02/2017 00:05:17,01/02/2017 00:11:49,"Vehicle accident, general cleanu",B Shift,Fargo Station 5,
2000 45 ST S,01/02/2017 00:03:19,TRUCK2,01/02/2017 00:06:36,01/02/2017 00:03:35,01/02/2017 00:04:58,01/02/2017 00:11:49,"Vehicle accident, general cleanu",B Shift,Fargo Station 5,
2000 45 ST S,01/02/2017 00:03:19,807,01/02/2017 00:16:28,01/02/2017 00:03:35,01/02/2017 00:05:03,01/02/2017 00:11:49,"Vehicle accident, general cleanu",B Shift,Fargo Station 5,
2000 45 ST S,01/02/2017 00:03:19,802,01/02/2017 00:06:05,01/02/2017 00:03:35,01/02/2017 00:05:18,01/02/2017 00:11:49,"Vehicle accident, general cleanu",B Shift,Fargo Station 5,
2913 8 ST N,01/02/2017 02:48:45,803,01/02/2017 03:06:41,01/02/2017 02:49:33,01/02/2017 02:50:59,01/02/2017 02:56:50,"EMS call, excluding vehicle acci",B Shift,Fargo Station 3,
1202 36 ST S,01/02/2017 03:11:20,805,01/02/2017 03:36:30,01/02/2017 03:14:29,01/02/2017 03:15:30,01/02/2017 03:18:40,"EMS call, excluding vehicle acci",B Shift,Fargo Station 5,
520 23 AVE S,01/02/2017 03:34:33,802,01/02/2017 04:07:52,01/02/2017 03:35:34,01/02/2017 03:36:58,01/02/2017 03:43:59,"EMS call, excluding vehicle acci",B Shift,Fargo Station 2,
3219 18 ST S,01/02/2017 06:15:44,802,01/02/2017 06:33:30,01/02/2017 06:16:30,01/02/2017 06:17:25,01/02/2017 06:20:18,"EMS call, excluding vehicle acci",B Shift,Fargo Station 2,
1401 WEST GATEWAY CIR S,01/02/2017 06:21:53,804,01/02/2017 06:34:40,01/02/2017 06:23:13,01/02/2017 06:24:26,01/02/2017 06:29:53,EMS Cancelled on Arrival,B Shift,Fargo Station 4,
1410 20 ST S,01/02/2017 08:15:56,804,01/02/2017 08:43:28,01/02/2017 08:16:38,01/02/2017 08:17:24,01/02/2017 08:21:50,"EMS call, excluding vehicle acci",A Shift,Fargo Station 4,
1412 ALBRECHT BLVD N,01/02/2017 09:54:00,803,01/02/2017 10:08:08,01/02/2017 09:54:38,01/02/2017 09:55:23,01/02/2017 10:01:46,"Smoke detector activation, no fi",A Shift,Fargo Station 3,
2525 14 ST S,01/02/2017 10:43:09,BATT1,01/02/2017 10:51:17,01/02/2017 10:44:17,01/02/2017 10:46:01,01/02/2017 10:49:04,"Local alarm system, malicious fa",A Shift,Fargo Station 2,
2525 14 ST S,01/02/2017 10:43:09,TRUCK1,01/02/2017 10:51:12,01/02/2017 10:44:17,01/02/2017 10:44:59,01/02/2017 10:49:04,"Local alarm system, malicious fa",A Shift,Fargo Station 2,
2525 14 ST S,01/02/2017 10:43:09,807,01/02/2017 10:51:12,01/02/2017 10:44:17,01/02/2017 10:45:17,01/02/2017 10:49:04,"Local alarm system, malicious fa",A Shift,Fargo Station 2,
2525 14 ST S,01/02/2017 10:43:09,805,01/02/2017 10:51:14,01/02/2017 10:44:17,01/02/2017 10:45:07,01/02/2017 10:49:04,"Local alarm system, malicious fa",A Shift,Fargo Station 2,
2525 14 ST S,01/02/2017 10:43:09,804,01/02/2017 10:51:13,01/02/2017 10:44:17,01/02/2017 10:45:28,01/02/2017 10:49:04,"Local alarm system, malicious fa",A Shift,Fargo Station 2,
2525 14 ST S,01/02/2017 10:43:09,802,01/02/2017 10:59:45,01/02/2017 10:44:17,01/02/2017 10:45:21,01/02/2017 10:49:04,"Local alarm system, malicious fa",A Shift,Fargo Station 2,
401 6 AVE N,01/02/2017 11:23:23,804,01/02/2017 11:35:55,01/02/2017 11:25:00,01/02/2017 11:25:57,01/02/2017 11:31:26,No incident found on arrival at,A Shift,Fargo Station 1,
1317 1 AVE N,01/02/2017 11:33:56,804,01/02/2017 11:42:38,01/02/2017 11:36:22,01/02/2017 11:36:43,01/02/2017 11:40:23,EMS Cancelled on Arrival,A Shift,Fargo Station 1,
901 42 ST S,01/02/2017 11:59:19,805,01/02/2017 12:13:52,01/02/2017 12:00:36,01/02/2017 12:01:45,01/02/2017 12:03:33,"EMS call, excluding vehicle acci",A Shift,Fargo Station 5,
901 42 ST S,01/02/2017 12:29:24,805,01/02/2017 12:36:03,01/02/2017 12:30:04,01/02/2017 12:30:54,01/02/2017 12:33:03,"Medical assist, assist EMS crew",A Shift,Fargo Station 5,
4303 9 AVENUE CIR S,01/02/2017 12:29:38,805,01/02/2017 12:50:09,01/02/2017 12:36:33,01/02/2017 12:36:42,01/02/2017 12:38:48,"Medical assist, assist EMS crew",A Shift,Fargo Station 5,
4303 9 AVENUE CIR S,01/02/2017 12:29:38,804,01/02/2017 12:36:38,01/02/2017 12:32:43,01/02/2017 12:33:33,01/02/2017 12:38:48,"Medical assist, assist EMS crew",A Shift,Fargo Station 5,
3491 UNIVERSITY DR S,01/02/2017 13:26:11,802,01/02/2017 13:44:49,01/02/2017 13:27:05,01/02/2017 13:27:42,01/02/2017 13:31:09,"EMS call, excluding vehicle acci",A Shift,Fargo Station 2,
3341 32 ST S,01/02/2017 13:31:17,BATT2,01/02/2017 13:47:32,01/02/2017 13:32:23,01/02/2017 13:33:17,01/02/2017 13:33:45,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
3341 32 ST S,01/02/2017 13:31:17,TRUCK2,01/02/2017 13:52:52,01/02/2017 13:32:23,01/02/2017 13:33:03,01/02/2017 13:33:45,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
3341 32 ST S,01/02/2017 13:31:17,807,01/02/2017 13:52:52,01/02/2017 13:32:23,01/02/2017 13:33:32,01/02/2017 13:33:45,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
3341 32 ST S,01/02/2017 13:31:17,805,01/02/2017 13:47:28,01/02/2017 13:32:23,01/02/2017 13:33:24,01/02/2017 13:33:45,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
3341 32 ST S,01/02/2017 13:31:17,804,01/02/2017 13:47:17,01/02/2017 13:32:23,01/02/2017 13:33:19,01/02/2017 13:33:45,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
3341 32 ST S,01/02/2017 13:31:17,801,01/02/2017 13:47:11,01/02/2017 13:32:23,01/02/2017 13:33:00,01/02/2017 13:33:45,"Smoke detector activation, no fi",A Shift,Fargo Station 2,
1850 42 ST S,01/02/2017 13:48:35,TRUCK1,01/02/2017 13:50:41,01/02/2017 13:50:18,,01/02/2017 13:54:05,No incident found on arrival at,A Shift,Fargo Station 5,
1850 42 ST S,01/02/2017 13:48:35,801,01/02/2017 14:01:00,01/02/2017 13:49:05,01/02/2017 13:50:01,01/02/2017 13:54:05,No incident found on arrival at,A Shift,Fargo Station 5,
1005 35 ST N,01/02/2017 13:55:59,BATT1,01/02/2017 14:03:41,01/02/2017 13:57:48,01/02/2017 13:59:01,01/02/2017 14:01:40,Smoke detector activation due to,A Shift,Fargo Station 4,
1005 35 ST N,01/02/2017 13:55:59,TRUCK1,01/02/2017 14:13:39,01/02/2017 13:57:48,01/02/2017 13:57:57,01/02/2017 14:01:40,Smoke detector activation due to,A Shift,Fargo Station 4,
1005 35 ST N,01/02/2017 13:55:59,806,01/02/2017 14:03:41,01/02/2017 13:57:48,01/02/2017 13:58:50,01/02/2017 14:01:40,Smoke detector activation due to,A Shift,Fargo Station 4,
1005 35 ST N,01/02/2017 13:55:59,805,01/02/2017 14:03:38,01/02/2017 13:57:48,01/02/2017 13:58:12,01/02/2017 14:01:40,Smoke detector activation due to,A Shift,Fargo Station 4,
1005 35 ST N,01/02/2017 13:55:59,804,01/02/2017 14:03:36,01/02/2017 13:57:48,01/02/2017 13:57:59,01/02/2017 14:01:40,Smoke detector activation due to,A Shift,Fargo Station 4,
1005 35 ST N,01/02/2017 13:55:59,803,01/02/2017 14:03:37,01/02/2017 13:57:48,01/02/2017 13:58:34,01/02/2017 14:01:40,Smoke detector activation due to,A Shift,Fargo Station 4,
1724 39 ST S,01/02/2017 15:54:03,805,01/02/2017 16:24:50,01/02/2017 15:59:05,01/02/2017 15:59:58,01/02/2017 16:04:09,"EMS call, excluding vehicle acci",A Shift,Fargo Station 5,
 25 ST S /  13 AVE S,01/02/2017 16:15:41,BATT1,01/02/2017 16:23:09,01/02/2017 16:17:09,01/02/2017 16:18:06,01/02/2017 16:21:53,Motor vehicle accident with inju,A Shift,Fargo Station 4,
 25 ST S /  13 AVE S,01/02/2017 16:15:41,TRUCK1,01/02/2017 16:23:15,01/02/2017 16:17:09,01/02/2017 16:18:07,01/02/2017 16:21:53,Motor vehicle accident with inju,A Shift,Fargo Station 4,
 25 ST S /  13 AVE S,01/02/2017 16:15:41,804,01/02/2017 16:30:35,01/02/2017 16:17:09,01/02/2017 16:18:08,01/02/2017 16:21:53,Motor vehicle accident with inju,A Shift,Fargo Station 4,
 25 ST S /  13 AVE S,01/02/2017 16:15:41,801,01/02/2017 16:23:06,01/02/2017 16:17:09,01/02/2017 16:18:09,01/02/2017 16:21:53,Motor vehicle accident with inju,A Shift,Fargo Station 4,
2309 9 ST N,01/02/2017 16:18:56,803,01/02/2017 16:56:08,01/02/2017 16:34:03,01/02/2017 16:34:07,01/02/2017 16:28:08,Carbon monoxide incident,A Shift,Fargo Station 3,
2309 9 ST N,01/02/2017 16:18:56,802,01/02/2017 16:33:33,01/02/2017 16:20:04,01/02/2017 16:20:42,01/02/2017 16:28:08,Carbon monoxide incident,A Shift,Fargo Station 3,
123 ROBERTS ST N,01/02/2017 17:04:39,801,01/02/2017 17:12:05,01/02/2017 17:05:11,01/02/2017 17:05:55,01/02/2017 17:07:03,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
3825 9 AVE S,01/02/2017 17:39:39,805,01/02/2017 17:57:40,01/02/2017 17:40:28,01/02/2017 17:41:24,01/02/2017 17:42:44,"EMS call, excluding vehicle acci",A Shift,Fargo Station 5,
 25 ST S /  52 AVE S,01/02/2017 17:56:41,BATT2,01/02/2017 18:04:16,01/02/2017 17:58:10,01/02/2017 17:58:52,01/02/2017 18:03:18,Motor vehicle accident with no i,A Shift,Fargo Station 8,
 25 ST S /  52 AVE S,01/02/2017 17:56:41,TRUCK2,01/02/2017 18:04:10,01/02/2017 17:58:10,01/02/2017 17:59:24,01/02/2017 18:03:18,Motor vehicle accident with no i,A Shift,Fargo Station 8,
 25 ST S /  52 AVE S,01/02/2017 17:56:41,807,01/02/2017 18:04:10,01/02/2017 17:58:10,01/02/2017 17:59:04,01/02/2017 18:03:18,Motor vehicle accident with no i,A Shift,Fargo Station 8,
 25 ST S /  52 AVE S,01/02/2017 17:56:41,802,01/02/2017 18:28:03,01/02/2017 17:58:10,01/02/2017 17:59:09,01/02/2017 18:03:18,Motor vehicle accident with no i,A Shift,Fargo Station 8,
101 UNIVERSITY DR S,01/02/2017 19:29:20,801,01/02/2017 19:36:52,01/02/2017 19:29:32,01/02/2017 19:30:13,01/02/2017 19:32:52,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
1513 10 ST N,01/02/2017 20:11:13,803,01/02/2017 20:23:51,01/02/2017 20:12:21,01/02/2017 20:12:52,01/02/2017 20:17:26,"Medical assist, assist EMS crew",A Shift,Fargo Station 3,
4482 47 ST S,01/02/2017 20:14:14,807,01/02/2017 20:34:03,01/02/2017 20:18:12,01/02/2017 20:19:10,01/02/2017 20:33:59,"EMS call, excluding vehicle acci",A Shift,Fargo Station 7,
 MAIN AVE /  10 ST N,01/02/2017 20:27:11,801,01/02/2017 20:39:29,01/02/2017 20:31:08,01/02/2017 20:31:55,01/02/2017 20:33:10,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
 29 AVE N /  BROADWAY N,01/02/2017 20:43:42,803,01/02/2017 21:04:34,01/02/2017 20:45:37,01/02/2017 20:46:23,01/02/2017 20:48:41,"EMS call, excluding vehicle acci",A Shift,Fargo Station 3,
414 11 ST N,01/02/2017 21:30:06,801,01/02/2017 21:42:56,01/02/2017 21:30:27,01/02/2017 21:31:13,01/02/2017 21:34:06,EMS Cancelled on Arrival,A Shift,Fargo Station 1,
615 36 ST N,01/02/2017 21:40:05,804,01/02/2017 21:57:52,01/02/2017 21:43:03,01/02/2017 21:44:05,01/02/2017 21:47:18,"EMS call, excluding vehicle acci",A Shift,Fargo Station 4,
3131 27 ST S,01/02/2017 21:57:22,802,01/02/2017 22:13:11,01/02/2017 21:58:45,01/02/2017 21:59:40,01/02/2017 22:01:15,"EMS call, excluding vehicle acci",A Shift,Fargo Station 2,
2681 WHISPERING CREEK CIR S,01/02/2017 23:25:54,802,01/02/2017 23:32:00,01/02/2017 23:27:21,01/02/2017 23:28:28,,Emergency Medical cancelled en r,A Shift,Fargo Station 8,
409 4 ST N,01/02/2017 23:39:43,801,01/02/2017 23:49:51,01/02/2017 23:42:45,01/02/2017 23:43:55,01/02/2017 23:46:27,EMS Cancelled on Arrival,A Shift,Fargo Station 1,
1513 10 ST N,01/03/2017 00:44:49,803,01/03/2017 00:59:00,01/03/2017 00:46:14,01/03/2017 00:47:28,01/03/2017 00:52:09,Assist invalid,A Shift,Fargo Station 3,
